LP Name,Investor Type,Country,S&P,Moody's
"G.M Pensiones, Fondo De Pensiones",Other Pension Plan,Spain,NR,NR
"AXA Alternative Participations IV, SICAV-FIS - Sub-Fund A",Insurance Company,Germany,NR,NR
AXA Alternative Participations SICAV II,Insurance Company,Germany,NR,NR
AXA Assicurazioni SPA - Segment Fondi Propri,Insurance Company,Italy,NR,NR
AXA Assicurazioni SPA - Segment Fondo Interlife,Insurance Company,Italy,NR,NR
AXA Assicurazioni SPA - Segment Gestiriv1,Insurance Company,Italy,NR,NR
AXA Aurora Vida - Segment Plan 21 (CFM),Insurance Company,Spain,NR,NR
AXA Aurora Vida - Segment Shareholder,Insurance Company,Spain,NR,NR
AXA Insurance Ltd,Insurance Company,Switzerland,NR,NR
"AXA LIFE INSURANCE Co.,Ltd.",Insurance Company,Japan,NR,NR
AXA MPS Assicurazioni Danni SPA,Insurance Company,Italy,NR,NR
AXA MPS Assicurazioni Vita SPA - Segment MPV4,Insurance Company,Italy,NR,NR
AXA MPS Assicurazioni Vita SPA - Segment Proprieta,Insurance Company,Italy,NR,NR
Matignon Développement 4,Insurance Company,France,NR,NR
"RANW AI S.A., SICAV-RAIF - RANW Private Equity I",Fund-of-Funds,Luxembourg,NR,NR
Souverain Private Equity SA SICAR,Fund-of-Funds,Luxembourg,NR,NR
CLEARSTREAM BANKING S.A. AFS CBNY AFP CUPRUM SA FON PEN - TIPO A,Other Pension Plan,Chile,NR,NR
CLEARSTREAM BANKING S.A. AFS CBNY AFP CUPRUM SA FON PEN - TIPO B,Other Pension Plan,Chile,NR,NR
CLEARSTREAM BANKING S.A. AFS CBNY AFP CUPRUM SA FON PEN - TIPO C,Other Pension Plan,Chile,NR,NR
CLEARSTREAM BANKING S.A. AFS CBNY AFP CUPRUM SA FON PEN - TIPO D,Other Pension Plan,Chile,NR,NR
CLEARSTREAM BANKING S.A. AFS CBNY AFP CUPRUM SA FON PEN - TIPO E,Other Pension Plan,Chile,NR,NR
Keva,Public Pension Plan,Finland,NR,NR
Taikang Life Insurance Co.Ltd (for the account of SCBCN-TAIKANG LIFE INSURANCE CO LTD-CTQDUSDB1),Insurance Company,China,NR,A3
Taikang Life Insurance Co.Ltd (for the account of SCBCN-TAIKANG LIFE INSURANCE CO LTD-FHQDUSDB1),Insurance Company,China,NR,A3
Taikang Life Insurance Co.Ltd (for the account of SCBCN-TAIKANG LIFE INSURANCE CO LTD-GHQDUSDB1),Insurance Company,China,NR,A3
ASF VIII Infrastructure Private Investors Offshore SICAV-RAIF S.C.Sp.,Insurance Company,United States,NR,NR
ACM Capital,Insurance Company,United States,NR,NR
China Life Insurance Company Limited,Insurance Company,China,A+,A1
"AXA Alternative Participations III, SICAV-FIS",Insurance Company,Germany,NR,NR
Jardim De Luz Limited,Investment Company,,NR,NR
Moscovo Ltd,Fund-of-Funds,,NR,NR
Odin Real Estate Limited,Fund-of-Funds,,NR,NR
Zorzales LP,Investment Company,,NR,NR
PORTAGE PROPERTIES LTD,Fund-of-Funds,,NR,NR
Alvin Segal Family Foundation,Foundation,,NR,NR
INTERNATIONAL SKIES CORP,Corporate,,NR,NR
ARDIAN Investment Switzerland Holding AG (B),Investment Company,,NR,NR
Athalia VIII B infra,Fund-of-Funds,,NR,NR
Athalia VIII infra 2,Fund-of-Funds,,NR,NR
State of Michigan Retirement System,Public Pension Plan,,AA,Aa1
Chemical Investments Luxembourg S.A. SPF,Corporate,,NR,NR
ASF VIII Infrastructure Euro Feeder S.C.S SICAV-RAIF,Fund-of-Funds,,NR,NR
Asphodele S.A. SICAR,Fund-of-Funds,,NR,NR
Erbium SA,Fund-of-Funds,,NR,NR
MHT AG (as custodial trustee of the Martin Hilti Family Trust),Family Office,,NR,NR
EESD-1-1-2-2 Geschäftsführungs GmbH,Other,,NR,NR
Groupe Josi SA,Other,,NR,NR
Marlis srl,Family Office,,NR,NR
Schily Verwaltungsgesellschaft mbH,Family Office,,NR,NR
"Lombard International Assurance SA, 2111-143846",Insurance Company,,NR,NR
Athalia VIII infra 1,Fund-of-Funds,,NR,NR
Ardian Holding,Corporate,France,NR,NR
Céleste Management SA,Investment Company,Switzerland,NR,NR
FCPR AXA AVENIR ENTREPRENEURS,Insurance Company,France,NR,NR
FCPR CNP PRIVATE EQUITY FOR PERSONAL SAVINGS II,Insurance Company,France,NR,NR
FMBT Capital SAS,Fund-of-Funds,France,NR,NR
GF Investments SARL,Fund-of-Funds,France,NR,NR
Klaus Eckstein GmbH & Co. KG,Fund-of-Funds,Germany,NR,NR
MACSF Epargne Retraite,Insurance Company,France,NR,NR
"Pantoque Gestión SCR, S.A.",Fund-of-Funds,Spain,NR,NR
Personalvorsorgestiftung der Ärzte und Tierärzte PAT-BVG,Other Pension Plan,Switzerland,NR,NR
EDCAU Holding SC,Fund-of-Funds,Luxembourg,NR,NR
Hyos Invest Holding AG,Fund-of-Funds,Switzerland,NR,NR
Medpension vsao asmac,Other Pension Plan,Switzerland,NR,NR
Association Diocésaine de Paris,Foundation,France,NR,NR
BL Private Assets SCA SICAV RAIF - PE Selection V,Fund-of-Funds,Luxembourg,NR,NR
Brederode International S.a r.l. SICAR,Fund-of-Funds,Luxembourg,NR,NR
CNP Assurances Compte # 204,Insurance Company,France,A,A3
CNP Assurances Compte # 270,Insurance Company,France,A,A3
CNP Assurances - EVJ,Insurance Company,France,A,A3
P&V ASSURANCES SC,Insurance Company,Belgium,NR,NR
ARDIAN LatAm Middle Market II L.P.,Fund-of-Funds,UK,NR,NR
ARDIAN Multi Stratégies FCPR,Fund-of-Funds,France,NR,NR
"BNP Paribas S.A., acting through its IPS Investments department",Financial Institution,France,A+,Aa3
Caisse des dépôts et consignations - Direction des Fonds d'Epargne,Financial Institution,France,AA-,Aa2
Groupama Private Equity Invest,Insurance Company,France,NR,NR
"Kuwait Investment Authority, Acting for and on Behalf of the Government of the State of Kuwait",SWF,Kuwait,A+,A1
Pactinvest SAS,Insurance Company,France,NR,NR
PGGM Private Equity B B.V.,Other Pension Plan,Netherlands,NR,NR
Sogecap - Ref: Percap,Insurance Company,France,NR,NR
Etablissement de Retraite Additionnelle de la Fonction Publique,Other Pension Plan,France,NR,NR
CNP Unicredit Vita Spa,Insurance Company,Italy,NR,NR
GARANCE RETRAITE,Insurance Company,France,NR,NR
"NH Investment & Securities, acting as a trustee of Eugene Europe Midcap PE Private Investment Trust No.1",Fund-of-Funds,South Korea,NR,NR
ERGO Private Capital ERGO Leben GmbH (A),Fund-of-Funds,Germany,NR,NR
ERGO Private Capital Gesundheit GmbH (A),Fund-of-Funds,Germany,NR,NR
ERGO Private Capital Victoria Leben GmbH (A),Fund-of-Funds,Germany,NR,NR
"Fondo de Pensiones de Naturgy, Fondo de Pensiones",Other Pension Plan,Spain,NR,NR
"Fons de Pensions de l'Ambit de la Generalitat, Fondo de Pensiones",Other Pension Plan,Spain,NR,NR
MR Beteiligungen 1. GmbH,Fund-of-Funds,Germany,NR,NR
"Pension Caixa 2, Fondo de Pensiones",Other Pension Plan,Spain,NR,NR
